id,年齡,性別,教育程度,月收入,滿意度,使用頻率,推薦指數,產品體驗評分,功能評價,界面友好度,願意繼續使用
1,25,男,大學,35000,4,每天,8,4,非常好,4,是
2,32,女,碩士,48000,5,每天,9,5,優秀,5,是
3,41,男,高中,28000,3,每週,6,3,一般,3,是
4,29,女,大學,40000,4,每天,7,4,很好,4,是
5,35,男,大學,42000,4,每天,8,4,很好,4,是
6,22,女,大學,25000,3,每週,5,3,一般,3,否
7,45,男,碩士,60000,5,每天,9,5,非常好,5,是
8,38,女,博士,75000,4,每天,8,4,很好,4,是
9,27,男,大學,32000,3,每月,6,3,一般,3,是
10,33,女,大學,45000,4,每週,7,4,很好,4,是
11,29,男,高中,30000,2,很少,4,2,較差,2,否
12,36,女,碩士,55000,5,每天,9,5,優秀,5,是
13,43,男,大學,48000,4,每週,7,4,很好,4,是
14,24,女,大學,28000,3,每週,6,3,一般,3,是
15,39,男,高中,32000,2,每月,5,2,較差,2,否
16,31,女,碩士,50000,4,每天,8,4,很好,4,是
17,26,男,大學,33000,3,每週,6,3,一般,3,是
18,42,女,博士,70000,5,每天,9,5,優秀,5,是
19,28,男,大學,36000,4,每週,7,4,很好,4,是
20,34,女,高中,27000,2,每月,4,2,較差,2,否
21,47,男,碩士,65000,5,每天,9,5,非常好,5,是
22,30,女,大學,42000,4,每週,7,4,很好,4,是
23,36,男,大學,45000,3,每週,6,3,一般,3,是
24,25,女,高中,26000,2,很少,4,2,較差,2,否
25,40,男,碩士,58000,4,每天,8,4,很好,4,是
26,32,女,大學,43000,3,每週,6,3,一般,3,是
27,29,男,大學,38000,4,每天,7,4,很好,4,是
28,44,女,博士,72000,5,每天,9,5,優秀,5,是
29,27,男,高中,29000,2,每月,5,2,較差,2,否
30,38,女,碩士,56000,4,每週,8,4,很好,4,是
31,33,男,大學,41000,3,每週,6,3,一般,3,是
32,26,女,大學,32000,4,每天,7,4,很好,4,是
33,45,男,高中,33000,2,很少,4,2,較差,2,否
34,35,女,碩士,55000,5,每天,9,5,優秀,5,是
35,30,男,大學,39000,4,每週,7,4,很好,4,是
36,42,女,大學,46000,3,每週,6,3,一般,3,是
37,28,男,高中,28000,2,每月,5,2,較差,2,否
38,37,女,碩士,57000,5,每天,9,5,非常好,5,是
39,31,男,大學,40000,4,每週,7,4,很好,4,是
40,43,女,博士,75000,5,每天,9,5,優秀,5,是
41,26,男,大學,34000,3,每週,6,3,一般,3,是
42,39,女,大學,47000,4,每天,8,4,很好,4,是
43,32,男,高中,31000,2,很少,4,2,較差,2,否
44,36,女,碩士,54000,4,每週,8,4,很好,4,是
45,29,男,大學,38000,3,每週,6,3,一般,3,是
46,44,女,大學,49000,4,每天,7,4,很好,4,是
47,27,男,高中,27000,2,每月,5,2,較差,2,否
48,41,女,碩士,60000,5,每天,9,5,非常好,5,是
49,34,男,大學,43000,4,每週,7,4,很好,4,是
50,28,女,大學,36000,3,每週,6,3,一般,3,是 
