id,年齡,性別,教育程度,月收入,滿意度,使用頻率,推薦指數,產品體驗評分,功能評價,界面友好度,願意繼續使用
1,36.59650942557398,男,高中,42255.21741461493,4,每週,9,4,非常好,2,是
2,33.79927354732958,男,大學,50411.34346867004,3,每天,6,2,較差,4,否
3,32.987189579219084,女,大學,28738.181301762655,4,每天,6,2,較差,4,否
4,43.119193068150345,男,高中,63274.78373378995,4,每天,8,2,很好,4,是
5,29.79743383726439,女,大學,46995.651684700606,5,每天,5,3,一般,4,是
6,39.88206355569344,女,大學,49347.96149040633,4,每天,7,4,很好,2,是
7,37.40743432683893,女,碩士,29974.42627335033,5,每天,7,3,一般,4,是
8,44.0,女,碩士,69864.30093790298,5,每天,9,3,優秀,4,是
9,33.4766493225675,女,大學,33119.504726944266,5,每天,9,4,很好,3,否
10,40.97811841006633,女,碩士,28530.662278029868,4,每天,6,4,很好,4,否
11,34.605689584386255,女,大學,70738.69315485877,5,每週,7,3,較差,4,否
12,29.74387797632566,男,大學,28723.60228649195,3,每月,8,3,一般,4,是 
13,36.9218175263148,女,大學,53704.20834494186,3,每週,8,5,非常好,2,是
14,34.43593917531567,男,高中,44653.084869142236,2,每週,9,2,一般,4,是
15,35.80900085623641,女,高中,36666.261442940086,3,每天,6,4,優秀,3,是
16,35.19777801449549,女,大學,64770.988807750095,4,每天,8,5,很好,5,是
17,27.687273139571744,男,大學,26767.272738382948,4,每週,5,3,較差,2,否
18,38.27340631142175,男,大學,37178.55320838912,4,每週,7,3,較差,3,是
19,37.06564558744522,女,碩士,63294.065402101165,2,每天,6,4,非常好,3,是
20,25.03544752132941,女,碩士,49549.84789317504,4,每天,6,5,優秀,2,是
21,22.0,男,高中,29242.30031683101,3,每週,5,4,較差,5,否
22,39.96418854858276,女,大學,25000.0,5,每週,9,4,一般,3,是
23,35.71748752116539,女,大學,42545.07653391314,4,每天,9,4,很好,4,是
24,33.18772274871282,男,高中,32000.0,4,每週,6,4,很好,4,是
25,29.142409278582747,男,大學,40743.72074563992,5,每週,4,4,很好,4,是
26,31.368659669359,女,高中,31995.507538186142,4,每月,8,2,一般,3,否
27,37.91075966726824,女,碩士,29417.501030624346,2,每月,6,4,較差,4,否
28,36.10249950135169,女,碩士,42463.957356386265,3,每週,9,3,很好,3,是
29,31.02181431559163,女,大學,34641.64690702416,4,每週,9,4,很好,3,是
30,22.0,女,碩士,31006.38998475141,4,每週,6,5,很好,3,否
31,36.00064780336506,女,碩士,25567.653938024425,3,每週,4,3,優秀,4,否
32,31.54452457627319,男,碩士,45129.47704063351,4,每週,8,5,較差,4,是
33,33.325127528004515,女,高中,43145.818609634225,4,每天,8,4,很好,2,是
34,36.65724657663118,女,碩士,31526.692340583926,2,每天,9,2,較差,4,否
35,27.189769580244498,男,大學,33797.35185863385,3,每月,6,2,較差,4,是
36,35.81295964817895,男,大學,36629.00059005577,5,每週,7,4,很好,4,是
37,25.852157839670788,女,大學,30585.066152296054,3,每月,6,3,一般,4,是
38,34.110247318755775,男,碩士,49000.0,3,每月,7,2,很好,5,是
39,39.750046662892984,女,碩士,51891.383979090606,4,每天,9,3,一般,2,否
40,37.24474305210975,女,大學,46607.90034400908,3,每天,8,4,非常好,4,是
41,41.01281855910773,男,大學,51890.51647153403,3,每月,6,4,很好,3,是
42,26.0,女,大學,35806.75033595922,3,每天,7,3,很好,4,是
43,33.12488942170797,男,碩士,55688.93668121896,3,每天,5,2,優秀,5,是
44,25.0,男,高中,26000.0,4,每月,8,4,較差,5,是
45,37.206625795596146,女,碩士,69972.00709249062,4,每天,9,4,優秀,4,是
46,41.75542649141293,男,大學,71551.5190563521,3,很少,4,5,優秀,3,是
47,42.671666319836106,女,碩士,62939.74437240684,2,每天,9,5,非常好,3,是
48,25.453693560927874,男,大學,39971.73105477789,3,每週,9,2,很好,4,是 
49,31.85369494045729,男,高中,51835.5120607107,4,每月,7,3,一般,3,是
50,32.31352430424464,男,高中,54489.810811489,4,每月,6,5,非常好,3,是
